,id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,claim
0,0,0.10859,0.0043139,-37.566,0.017364,0.28915,-10.251,135.12,168900.0,399240000000000.0,86.489,0.59881,1423200000.0,0.2724,9.4556,-0.050305,1938.3,8.6331,4.0607,26.867,-1.18,10961.0,1.5397,135.32,-1.4965,440.08,2590100000000.0,2194200000.0,2968800.0,0.0014314,13.327,0.7505,18509.0,146820.0,-0.00027645,1.0906e+16,1705.4,414.29,3.5392,1888.0,0.96893,18.388,-0.0015831,7.7059,5.9325,0.025693,4.5604,0.61122,10.795,0.34193,0.23501,,5237.7,1.2961,163.66,0.40378,0.1886,-0.0014464,-0.35416,6.6432,0.30534,0.51402,1907300000.0,29.861,0.96501,1797.2,72.178,108.62,1.9799,1.2907,0.99519,1.3228,827.34,777990000000000.0,41299000000.0,0.006994,6.9835,43956.0,1978.2,5.5084,-0.0010809,6.1244,123180000000.0,275.92,5308500.0,1704.0,50224000000.0,53.398,-2.2012,6871.0,3.8862,-0.0055803,5252.1,166.69,1.6074,0.66534,7768.9,0.99662,112570000000.0,2.2432,0.93416,0.65056,94569.0,21.471,8214.1,0.28801,0.097826,0.0010714,1412400000.0,0.11093,-12.228,1.7482,1.9096,-7.1157,4378.8,1.2096,861340000000000.0,140.1,1.0177,1
1,1,0.1009,0.29961,11822.0,0.2765,0.4597,-0.83733,1721.9,119810.0,3874100000000000.0,9953.6,1.2093,3334100000.0,0.28631,-0.012858,-0.019912,10.284,6.1872,1.0419,4.6404,31.877,123620.0,1.3951,125.81,1.1989,136.45,9098100000.0,40041000000.0,1564000.0,0.00020396,3.1074,1.5033,238000.0,21440.0,-0.0013445,3.0794e+16,229.1,844.82,1.468,4726.5,0.91538,-1.5321,0.9826,7.1112,2.0797,0.042321,4.2523,0.41871,5.4499,0.012737,0.38647,7.3082,283.21,-0.92552,140.8,0.24739,-0.0016564,-0.00097491,-0.22629,2.4246,0.77147,0.011613,1803700000.0,64.604,0.26265,4455.0,78.339,745.51,2.9069,1.4826,1.0051,1.4974,84.446,3505600000000000.0,2242300000.0,0.8963,4.6749,17713.0,9003.1,-4.3546,0.2541,6.9191,183240000000.0,9.651,32800.0,1480.6,23006000000.0,44.051,205.69,4295.3,13.388,0.46843,754.61,83.233,1.189,29.55,7343.7,0.99815,48777000000000.0,1.2708,-0.00096945,5.2952,6779.0,227.72,34.342,0.3403,0.14337,0.049276,1903200000.0,0.97673,-56.758,4.1684,0.34808,4.142,913.23,1.2464,7575100000000000.0,1861.0,0.28359,0
2,2,0.17803,-0.00698,907.27,0.27214,0.45948,0.17327,2298.0,360650.0,12245000000000.0,15827.0,0.38164,1230300000.0,0.25807,2.4556,,26.873,7.5463,1.9967,1.9526,817.76,-2948.7,2.0054,1.6826,1.1968,74.624,-32739000000.0,57189000000.0,11058.0,-0.0030971,8.0241,1.1318,27940.0,862460.0,-0.0022073,58491000000000.0,-897.84,,1.3561,3063.4,0.086232,16.106,0.0014809,11.476,5.343,0.012162,4.1018,-0.8827,8.1228,-0.67669,0.3377,-1.0732,4097.0,13.458,159.24,0.3223,0.56009,0.00045533,-0.16083,3.5753,0.6097,0.028301,527130000.0,14.454,0.11549,14605.0,36.992,-9.6391,64.267,,0.99278,2.5891,430.4,-44535000000000.0,5144900000000.0,0.099591,6.5516,1887.5,43319.0,4.3931,0.26026,6.1052,101330000000.0,357.27,1476600.0,90.845,1306200000.0,2.3731,391.37,2965.3,,0.49459,43.524,138.52,1.1079,0.91948,47.915,,1510500000000.0,3.4663,0.56095,4.1309,95531.0,39.486,-83.148,0.084881,0.032222,0.001668,14365000.0,0.20102,-5.7688,1.2042,0.2629,8.1312,45119.0,1.1764,321810000000000.0,3838.2,0.4069,1
3,3,0.15236,0.0072591,780.1,0.025179,0.51947,7.4914,112.51,259490.0,77814000000000.0,-36.837,1.1096,1223100000.0,0.30944,10.37,-0.10626,533.84,7.849,1.0379,8.003,12.349,-195.28,2.5598,92.142,0.63789,1054.9,-12041000000.0,5187300000000.0,1475400.0,1.0365,1.1903,0.98941,301200.0,,-7.3518e-06,-92992000000000.0,-10.818,1020.3,2.9553,3342.5,-0.00037186,17.011,0.095268,5.7448,15.883,0.037934,4.486,-0.88909,8.4384,-1.1898,0.0013913,,175.81,67.133,119.26,0.0070336,0.46004,-0.0007048,-0.39149,2.0888,0.7979,0.13592,4011100000.0,63.063,0.033075,75194.0,103.97,-15.482,2.9432,1.1804,1.007,2.1572,1251.5,1894700000000000.0,10770000000.0,0.99225,4.5331,14348.0,1575.7,9.8105,0.37283,1.5606,18354000000.0,-3.4298,6485700.0,2120.0,30812000000.0,34.056,157.43,3724.5,8.4211,0.40778,2971.2,204.7,-0.97998,9.9405,12011.0,0.99898,50634000000000.0,1.2261,0.2502,0.72974,373690.0,194.65,120.93,0.26071,0.23424,-0.0027942,1442300000.0,-0.01182,-34.858,2.0694,0.79631,-16.336,4952.4,1.1784,4533000000000.0,4889.1,0.51486,1
4,4,0.11623,0.5029,-109.15,0.29791,0.3449,-0.40932,2538.9,65332.0,1907200000000000.0,144.12,1.0531,2634100000.0,0.29782,2.6548,,1808.9,7.2783,3.9757,,,29520.0,3.4225,96.725,0.79725,215.57,17326000000000.0,2635200000000.0,2161200.0,0.89547,6.8257,0.97413,142620.0,231350.0,0.0012575,1.0125e+16,51.508,293.76,1.3351,3042.1,0.0067909,94.889,0.91709,8.7369,,0.020281,3.9115,0.65634,6.141,-1.0896,0.24794,7.9704,2063.1,0.80633,131.77,0.17796,0.98938,0.00034413,-0.98027,2.361,0.5803,0.46577,5702500000.0,23.738,-0.00084728,75843.0,73.737,,64.591,1.1029,0.98985,1.3446,519.2,569320000000000.0,286960000000.0,0.011649,6.0236,1969.8,1967.6,,0.08569,1.5846,38252000000.0,130.7,102100.0,1951.8,11428000000.0,58.566,176.83,1279.0,4.9662,0.47912,-70.278,10.887,1.1434,6.1912,197.47,,15748000000000.0,1.0083,0.33953,13.486,201300.0,38.842,324.0,0.23825,0.14155,0.0022085,5830700000.0,0.92739,-13.641,1.5298,1.1464,-0.43124,3856.5,1.483,-8991300000000.0,,0.23049,1
5,5,0.10153,-0.0026122,-1118.7,0.1163,0.31886,-0.47839,2372.8,-1808.0,5818100000000000.0,8421.2,0.98016,5563200000.0,0.25503,0.27257,0.022285,987.1,6.6393,2.9708,25.931,467.67,25769.0,2.1694,-2.2931,0.95212,526.43,625980000000.0,335460000000.0,99780.0,0.91309,14.999,-1.0842,38977.0,539700.0,-0.0021077,1.7783e+16,177.45,-13.795,1.7128,565.45,0.081381,363.51,0.89376,6.1252,35.231,0.046044,4.1088,-0.42924,9.8739,-0.30918,0.32143,1.996,4889.4,2.6528,125.73,0.30178,0.79318,-0.00015256,-0.28803,,0.90617,0.0034436,-17464000.0,18.829,-0.0039462,77575.0,109.58,161.33,43.514,1.2033,0.0019527,1.079,897.93,1220300000000000.0,6037900000000.0,0.10167,7.3768,3939.6,29604.0,7.2031,0.25174,2.6212,81543000000.0,184.6,15880000.0,78.695,57325000000.0,86.403,73.544,643.57,4.6423,0.37254,1900.6,27.55,-0.006145,3.4732,8894.8,0.99908,50801000000000.0,1.1757,0.67165,69.523,106620.0,952.4,1077.2,0.078973,0.1471,0.015488,-9584600.0,0.52308,-44.082,3.5812,26.559,-6.4722,44570.0,1.1776,299770000000000.0,5548.3,-0.033159,0
6,6,0.0030734,0.35953,20913.0,0.0034647,0.26806,-1.2251,1301.2,233180.0,1771400000000000.0,-48.087,-0.98069,35396000.0,0.29289,3.8366,0.010188,39.284,6.6101,3.9654,15.33,179.81,181410.0,2.8416,125.53,-0.18296,987.48,926230000000.0,4310200000000.0,2393800.0,,,0.73276,-11969.0,-14848.0,0.00036983,6.1097e+16,7.5461,135.64,1.5373,1061.0,0.89826,419.12,0.10067,6.994,7.1902,0.013132,3.6172,-0.62884,6.5843,-1.0026,0.47458,-5.6478,1462.3,17.919,132.28,0.329,0.045196,0.00041929,-0.085777,1.128,0.85034,0.50233,,70.41,0.0020523,77508.0,106.17,93.395,70.648,1.1752,0.0027578,2.2596,531.54,-2628600000000.0,1685900000.0,0.099872,8.3921,5342.3,11449.0,-1.8814,0.10637,1.0084,138360000000.0,0.18555,19337.0,298.85,90745000000.0,20.629,83.973,7.0763,4.3822,0.38421,-27.878,57.888,-0.34667,2.37,363.24,0.99786,15307000000000.0,0.98084,-0.0089771,32.793,296300.0,58.267,21981.0,0.04668,-0.000338,0.0033456,1227100000.0,0.55065,-39.922,1.4896,1.2923,33.634,16201.0,1.2271,2.4589e+16,1012.9,0.64797,0
7,7,0.09734,0.24591,11775.0,0.61486,0.47937,-1.4865,3179.2,123940.0,1652900000000000.0,504.4,-1.0777,329110000.0,0.16919,2.8921,0.10353,296.26,6.6818,13.65,18.373,54.452,11084.0,2.6112,-0.314,1.0295,72.986,3695300000000.0,450810000000.0,5871.6,0.00040242,15.351,1.2729,290070.0,1222700.0,-0.0032918,4.4672e+16,2186.8,663.73,1.4968,7.9932,0.99662,50.37,0.091298,8.0571,14.856,0.00049508,4.1391,-0.30081,2.2289,-0.87929,0.49145,36.853,5461.4,21.277,116.17,0.0056452,0.72145,0.00050263,-0.26515,2.0897,0.70959,0.26137,4129700000.0,81.209,0.081051,14617.0,79.486,74.596,7.2304,1.1091,-0.0012417,0.97278,586.98,-28899000000000.0,147790000000.0,0.00038438,7.3351,12446.0,17725.0,3.8157,0.096613,2.4614,55660000000.0,24.848,13727000.0,339.97,46124000000.0,4.9414,245.41,3122.2,3.308,-0.0027957,-107.62,78.075,,1.3886,5688.7,1.0023,25722000000000.0,2.2312,1.0127,17.883,62683.0,510.99,1209.9,0.32059,0.086232,0.041589,773090000.0,0.24227,-22.995,1.5719,101.95,1.5156,1117.5,1.2468,-69713000000000.0,1481.7,0.30317,1
8,8,-0.0089477,0.33802,503.81,0.60152,0.26176,0.73538,1614.0,408030.0,768440000000000.0,5.382,1.117,7705200000.0,-0.002584,10.658,0.059473,10.577,6.1709,8.5828,63.935,127.22,-2138.7,2.0154,100.59,1.023,353.97,1706100000000.0,142340000000.0,2619300.0,0.084903,6.9449,1.6623,105510.0,418570.0,0.00047246,2233600000000000.0,-22.47,649.95,1.3662,42.436,0.00036739,10.977,0.9884,4.9784,2.5547,0.0058745,4.3158,0.73436,8.435,0.64967,0.00052074,4.258,1773.8,48.766,150.45,0.23933,0.034006,0.0024459,-0.2552,2.0077,0.13659,0.79926,306100000.0,6.7701,0.009072,9530.8,98.125,139.65,135.55,1.243,0.99869,1.1211,206.69,-18305000000000.0,3399300000.0,0.012633,2.0244,12718.0,1525.1,-12.536,0.065568,3.0099,249540000000.0,27.925,32041000.0,1233.2,71131000000.0,24.974,126.34,986.47,5.0331,0.42912,4292.2,128.17,1.0441,19.923,576.61,0.99855,-10209000000.0,1.3125,-0.0037314,38.201,76074.0,11.297,1723.6,0.069618,0.048518,0.025043,478010000.0,0.30716,-9.5142,2.2176,-1.2375,7.0713,1030.8,1.204,5290300000000000.0,1968.1,0.14593,0
9,9,0.12623,0.17396,1662.0,0.038081,0.00048473,0.059909,296.07,-8035.3,4526300000000000.0,-90.304,1.3818,600210000.0,0.33028,20.452,0.18465,352.02,6.1155,2.0148,46.748,299.59,2354.0,1.5855,2.0403,-1.1251,1033.6,-25622000000.0,4265100000000.0,5052900.0,0.090869,1.0856,1.1621,16248.0,386890.0,0.0012357,1.3062e+17,1112.8,346.06,1.5842,221.68,0.10114,57.481,0.90124,0.57972,52.752,0.00069744,4.2313,0.82691,5.7097,1.0659,0.45654,10.347,5134.9,5.3478,147.92,0.2608,0.16809,-0.00038121,-0.73212,2.7806,0.043104,0.28436,4157100000.0,5.8441,0.38548,1029.6,129.18,543.46,19.676,1.2084,0.98962,1.1266,1038.0,3929600000000000.0,6174400000000.0,0.086862,6.5933,52143.0,8175.1,-3.072,0.23821,1.6112,211680000000.0,323.02,59487.0,1730.8,66072000000.0,4.4704,107.39,8823.9,5.7322,0.39038,243.3,345.53,0.36463,51.313,-32.64,0.99841,5400700000000.0,1.0146,1.0262,23.088,101430.0,2635.8,636.28,0.31241,0.29023,0.017692,4991100000.0,0.007485,-1.9684,3.9595,19.169,-0.24498,838.39,1.1968,2.567e+17,4914.9,0.51976,0
10,10,0.12157,0.27567,,0.0061985,0.47372,0.582,2044.1,1117000.0,38959000000000.0,43043.0,-1.7656,19952000.0,0.26365,5.6802,,113.32,5.3395,1.0127,20.316,4.0809,14452.0,2.343,84.275,1.1388,337.2,20929000000.0,7379400000.0,7019300.0,0.0005629,6.0718,-0.838,263470.0,,0.00065299,1789200000000.0,-38.87,658.61,1.5032,2057.4,0.097666,44.442,-0.002796,7.8729,13.087,0.004578,4.3688,0.40201,10.6,0.0059336,0.40728,303.58,,-0.21933,156.77,0.16307,0.20958,0.0006735,-0.060118,4.6949,,0.51862,37879000.0,76.628,0.77493,79808.0,47.711,422.5,5.7863,,0.0041502,1.2833,615.05,9365600000000.0,381570000000.0,0.98581,10.032,46178.0,1370.3,-7.7791,0.24267,1.5389,,188.82,2666300.0,1224.6,49122000000.0,4.1229,100.34,1131.6,4.7173,0.41299,9322.4,191.51,0.92988,34.829,22860.0,0.99723,398490000000.0,2.5962,1.0291,17.924,869380.0,158.68,257.75,0.078174,0.40522,0.018341,,0.35681,-43.158,3.675,7.9771,-20.509,69084.0,1.3961,7.2171e+16,523.19,0.86224,1
